investor_id,num_sips,avg_gap_days,max_gap_days,at_risk,age_group,city
INV000256,6,70.2,155,Yes,36-45,New Delhi
INV000259,6,70.6,165,Yes,36-45,Coimbatore
INV000260,8,59.6,206,Yes,18-25,Gurugram
INV000262,8,53.6,122,Yes,36-45,Hyderabad
INV000263,8,68.4,271,Yes,56+,Bhopal
INV000265,10,53.4,140,Yes,36-45,Bhopal
INV000268,7,62.3,143,Yes,18-25,Gurugram
INV000279,9,43.4,133,Yes,26-35,Ahmedabad
INV000280,9,55.8,191,Yes,26-35,Amritsar
INV000283,6,68.0,195,Yes,46-55,Kolkata
INV000287,7,69.8,301,Yes,56+,Kanpur
INV000289,8,62.7,142,Yes,36-45,Gurugram
INV000291,6,89.0,196,Yes,18-25,Indore
INV000292,7,46.0,95,Yes,18-25,Lucknow
INV000293,7,47.0,91,Yes,26-35,Mysore
INV000297,6,90.6,163,Yes,26-35,Ahmedabad
INV000299,6,85.2,240,Yes,26-35,Noida
INV000304,7,70.0,204,Yes,36-45,Kolkata
INV000309,8,52.0,157,Yes,26-35,Gurugram
INV000310,7,75.8,164,Yes,36-45,Noida
INV000318,6,97.4,175,Yes,46-55,Bhopal
INV000319,7,73.5,201,Yes,56+,Mumbai
INV000321,7,72.8,204,Yes,26-35,Mumbai
INV000328,9,37.5,73,Yes,26-35,Bhopal
INV000331,8,50.7,163,Yes,36-45,Indore
INV000334,7,25.5,60,Yes,56+,Lucknow
INV000335,6,96.0,279,Yes,26-35,Mumbai
INV000339,6,94.0,195,Yes,26-35,Kanpur
INV000341,8,54.4,191,Yes,26-35,New Delhi
INV000356,6,54.4,157,Yes,56+,Faridabad
INV000359,9,54.1,197,Yes,18-25,Chennai
INV000363,7,77.0,153,Yes,26-35,Bhopal
INV000369,6,43.8,112,Yes,26-35,Gurugram
INV000371,8,59.3,147,Yes,26-35,Agra
INV000372,7,54.5,121,Yes,36-45,Surat
INV000380,6,97.0,272,Yes,56+,Gurugram
INV000388,9,53.6,119,Yes,36-45,Nashik
INV000392,7,77.2,205,Yes,26-35,Surat
INV000395,7,55.7,119,Yes,18-25,Noida
INV000396,6,83.2,153,Yes,46-55,Jaipur
INV000399,10,49.6,68,Yes,26-35,Bangalore
INV000400,6,62.6,101,Yes,26-35,Chandigarh
INV000403,6,58.2,90,Yes,18-25,Jaipur
INV000407,6,82.4,157,Yes,36-45,Coimbatore
INV000408,6,46.8,125,Yes,56+,Amritsar
INV000412,8,43.7,70,Yes,18-25,Udaipur
INV000414,8,66.3,233,Yes,36-45,Chennai
INV000415,7,66.2,128,Yes,36-45,Pune
INV000418,6,86.8,238,Yes,26-35,Jaipur
INV000427,7,68.5,116,Yes,56+,Amritsar
INV000428,8,52.1,164,Yes,36-45,Gurugram
INV000429,6,77.2,187,Yes,36-45,Surat
INV000437,6,97.8,295,Yes,26-35,Hyderabad
INV000440,8,69.6,162,Yes,18-25,Agra
INV000441,6,60.8,151,Yes,26-35,Chennai
INV000444,6,73.2,129,Yes,36-45,Pune
INV000445,9,57.8,129,Yes,26-35,Bhopal
INV000446,6,38.6,101,Yes,26-35,Jaipur
INV000449,6,46.8,70,Yes,18-25,Faridabad
INV000452,9,49.4,123,Yes,26-35,Coimbatore
INV000457,6,91.4,256,Yes,26-35,Faridabad
INV000460,6,43.4,107,Yes,36-45,Noida
INV000463,7,65.2,181,Yes,26-35,Ahmedabad
INV000466,7,73.3,135,Yes,18-25,Faridabad
INV000467,10,56.7,272,Yes,18-25,Bangalore
INV000469,7,70.5,183,Yes,18-25,Coimbatore
INV000483,8,70.4,252,Yes,18-25,Gurugram
INV000491,6,95.0,202,Yes,56+,Indore
INV000493,10,47.6,201,Yes,18-25,Chandigarh
INV000497,7,71.8,191,Yes,36-45,Bhopal
INV000499,7,77.8,157,Yes,36-45,New Delhi
INV000507,7,70.2,249,Yes,36-45,Ahmedabad
INV000512,9,54.8,112,Yes,46-55,Amritsar
INV000522,6,100.8,309,Yes,26-35,Chandigarh
INV000524,7,55.0,91,Yes,56+,Kolkata
INV000527,6,50.8,116,Yes,26-35,Hyderabad
INV000529,6,59.2,110,Yes,18-25,Mumbai
INV000531,7,47.0,82,Yes,56+,Gurugram
INV000539,7,77.0,153,Yes,26-35,Faridabad
INV000540,7,73.5,123,Yes,26-35,Coimbatore
INV000543,7,83.7,218,Yes,36-45,Gurugram
INV000545,6,80.6,181,Yes,26-35,Hyderabad
INV000546,9,55.0,154,Yes,26-35,Mysore
INV000547,6,55.8,140,Yes,26-35,Kolkata
INV000549,6,96.2,146,Yes,46-55,Coimbatore
INV000553,6,72.0,172,Yes,36-45,Jaipur
INV000554,6,70.2,171,Yes,36-45,Noida
INV000556,8,52.4,156,Yes,18-25,Udaipur
INV000562,6,74.4,197,Yes,36-45,Ahmedabad
INV000563,7,76.3,198,Yes,26-35,Lucknow
INV000566,7,35.0,119,Yes,36-45,Agra
INV000567,6,63.8,166,Yes,26-35,New Delhi
INV000568,6,62.4,180,Yes,36-45,New Delhi
INV000570,8,67.3,186,Yes,26-35,Bhopal
INV000573,7,50.8,154,Yes,56+,Bhopal
INV000575,6,71.6,155,Yes,26-35,Amritsar
INV000578,7,66.8,164,Yes,26-35,Nashik
INV000581,7,78.3,160,Yes,36-45,Coimbatore
INV000586,7,44.5,111,Yes,36-45,Kolkata
INV000589,9,59.1,90,Yes,18-25,Kanpur
INV000591,7,64.5,112,Yes,18-25,Bangalore
INV000593,6,74.2,179,Yes,56+,Hyderabad
INV000596,9,51.8,140,Yes,56+,Indore
INV000597,6,88.6,198,Yes,46-55,Surat
INV000599,7,81.5,171,Yes,36-45,Ahmedabad
INV000607,7,66.7,209,Yes,56+,Jaipur
INV000608,6,100.2,324,Yes,46-55,Gurugram
INV000609,6,47.0,87,Yes,18-25,Coimbatore
INV000612,11,49.3,169,Yes,18-25,Amritsar
INV000615,7,55.8,139,Yes,36-45,Amritsar
INV000624,7,31.7,53,Yes,56+,Kolkata
INV000625,6,86.4,134,Yes,46-55,Jaipur
INV000630,7,68.7,161,Yes,26-35,Kanpur
INV000631,6,54.0,145,Yes,36-45,Noida
INV000634,9,52.2,147,Yes,26-35,Bangalore
INV000635,6,75.0,240,Yes,18-25,New Delhi
INV000641,6,54.8,126,Yes,26-35,Amritsar
INV000642,9,53.5,139,Yes,26-35,Surat
INV000645,6,66.0,127,Yes,18-25,Bangalore
INV000646,7,62.3,138,Yes,26-35,Lucknow
INV000651,6,94.0,304,Yes,18-25,New Delhi
INV000652,6,93.8,262,Yes,26-35,Gurugram
INV000657,8,64.7,106,Yes,26-35,Coimbatore
INV000662,8,66.1,185,Yes,36-45,Surat
INV000663,6,94.4,247,Yes,26-35,Gurugram
INV000665,10,36.2,148,Yes,26-35,Udaipur
INV000667,6,68.0,134,Yes,26-35,Hyderabad
INV000673,6,92.8,235,Yes,36-45,Nashik
INV000675,6,62.8,155,Yes,36-45,Kanpur
INV000676,11,35.3,106,Yes,56+,Udaipur
INV000678,7,63.3,140,Yes,26-35,Surat
INV000683,9,54.5,137,Yes,26-35,Mumbai
INV000690,8,56.3,134,Yes,46-55,Gurugram
INV000691,6,66.4,163,Yes,18-25,Chennai
INV000698,9,52.2,219,Yes,18-25,Bhopal
INV000699,6,42.8,147,Yes,18-25,Jaipur
INV000701,7,83.7,298,Yes,36-45,Kolkata
INV000707,9,34.4,106,Yes,36-45,Mysore
INV000709,7,65.2,128,Yes,26-35,Hyderabad
INV000710,6,88.6,264,Yes,26-35,Noida
INV000714,9,37.0,95,Yes,26-35,Kanpur
INV000718,7,57.8,118,Yes,26-35,Gurugram
INV000719,7,72.8,185,Yes,18-25,Coimbatore
INV000724,6,81.2,227,Yes,46-55,Kanpur
INV000725,7,67.7,92,Yes,18-25,Hyderabad
INV000734,8,64.0,180,Yes,26-35,Pune
INV000737,6,92.6,168,Yes,26-35,Indore
INV000747,6,84.6,205,Yes,36-45,Kolkata
INV000750,9,26.5,84,Yes,26-35,New Delhi
INV000751,9,53.0,193,Yes,36-45,Kanpur
INV000754,7,72.3,103,Yes,26-35,Kolkata
INV000759,7,83.0,156,Yes,26-35,Ahmedabad
INV000761,7,75.2,173,Yes,18-25,Udaipur
INV000768,8,60.0,124,Yes,56+,Noida
INV000772,6,46.0,81,Yes,56+,Bangalore
INV000774,7,73.7,169,Yes,36-45,Hyderabad
INV000776,8,59.4,116,Yes,26-35,Jaipur
INV000777,6,66.0,121,Yes,26-35,Lucknow
INV000778,8,59.7,182,Yes,26-35,Faridabad
INV000779,6,75.0,153,Yes,36-45,Ahmedabad
INV000783,6,89.8,187,Yes,46-55,Ahmedabad
INV000785,6,32.6,66,Yes,36-45,Chennai
INV000786,9,64.1,199,Yes,26-35,Bhopal
INV000789,8,55.1,225,Yes,56+,Surat
INV000793,8,69.1,149,Yes,26-35,Kolkata
INV000803,7,77.2,147,Yes,26-35,Mysore
INV000814,6,94.0,195,Yes,26-35,New Delhi
INV000822,7,55.5,141,Yes,26-35,Amritsar
INV000823,7,39.7,69,Yes,46-55,Bhopal
INV000827,8,58.3,122,Yes,36-45,Pune
INV000830,6,72.2,165,Yes,36-45,Chennai
INV000833,8,67.3,182,Yes,18-25,Nashik
INV000836,6,84.8,123,Yes,26-35,Gurugram
INV000843,6,55.6,102,Yes,26-35,Mumbai
INV000844,7,66.2,151,Yes,26-35,Surat
INV000847,6,47.8,75,Yes,26-35,Kolkata
INV000853,10,49.3,193,Yes,26-35,Chandigarh
INV000854,9,61.2,170,Yes,46-55,Bangalore
INV000858,9,44.9,157,Yes,36-45,Chennai
INV000862,6,91.2,372,Yes,26-35,Agra
INV000864,6,40.8,106,Yes,26-35,Chennai
INV000865,9,45.8,99,Yes,26-35,Coimbatore
INV000869,6,65.4,100,Yes,26-35,Kolkata
INV000873,7,73.5,299,Yes,26-35,Lucknow
INV000874,9,62.1,149,Yes,56+,Chennai
INV000877,6,59.4,159,Yes,36-45,Hyderabad
INV000881,10,46.1,155,Yes,26-35,Agra
INV000887,7,65.7,268,Yes,36-45,Coimbatore
INV000888,7,80.3,166,Yes,26-35,Ahmedabad
INV000893,7,59.5,147,Yes,46-55,Chandigarh
INV000894,6,55.0,105,Yes,36-45,Coimbatore
INV000901,6,54.0,95,Yes,46-55,Gurugram
INV000907,6,59.2,139,Yes,46-55,Bangalore
INV000920,6,75.6,220,Yes,56+,Gurugram
INV000926,6,80.0,111,Yes,36-45,New Delhi
INV000929,7,58.2,116,Yes,36-45,Kolkata
INV000930,8,32.4,118,Yes,18-25,Udaipur
INV000935,9,30.9,73,Yes,36-45,Hyderabad
INV000939,8,60.6,154,Yes,26-35,Bangalore
INV000942,7,53.0,92,Yes,56+,Faridabad
INV000949,7,67.5,135,Yes,26-35,Coimbatore
INV000950,6,91.0,215,Yes,36-45,Amritsar
INV000971,7,46.8,139,Yes,36-45,Mumbai
INV000974,7,73.5,143,Yes,46-55,Mumbai
INV000977,10,48.8,147,Yes,56+,Mysore
INV000979,6,79.8,115,Yes,26-35,Bangalore
INV000980,8,44.4,121,Yes,18-25,Kolkata
INV000981,6,50.4,104,Yes,36-45,Kolkata
INV000986,7,60.8,182,Yes,26-35,Coimbatore
INV000994,6,63.8,167,Yes,26-35,Pune
INV001001,8,60.3,137,Yes,26-35,Indore
INV001002,7,41.7,85,Yes,36-45,Hyderabad
INV001005,6,93.6,206,Yes,46-55,Bangalore
INV001008,7,64.7,191,Yes,46-55,Udaipur
INV001013,6,96.8,164,Yes,36-45,Hyderabad
INV001017,6,67.0,142,Yes,26-35,Kolkata
INV001019,9,44.9,180,Yes,26-35,Indore
INV001021,7,68.7,186,Yes,56+,Mumbai
INV001023,8,72.4,202,Yes,36-45,Ahmedabad
INV001025,6,38.8,76,Yes,18-25,Pune
INV001026,6,69.4,132,Yes,26-35,Gurugram
INV001037,10,42.0,86,Yes,36-45,Faridabad
INV001039,6,66.2,187,Yes,36-45,Surat
INV001041,7,83.0,195,Yes,18-25,Bhopal
INV001047,7,66.2,142,Yes,56+,Chennai
INV001048,8,47.0,84,Yes,46-55,New Delhi
INV001051,8,54.1,139,Yes,26-35,Gurugram
INV001053,8,55.9,116,Yes,46-55,Kolkata
INV001055,6,93.2,177,Yes,26-35,Gurugram
INV001060,9,53.4,89,Yes,36-45,Hyderabad
INV001061,9,51.1,141,Yes,18-25,Amritsar
INV001063,8,43.3,120,Yes,26-35,Faridabad
INV001064,9,59.5,160,Yes,46-55,Kolkata
INV001069,8,41.3,98,Yes,26-35,Hyderabad
INV001070,6,97.0,329,Yes,26-35,Coimbatore
INV001092,7,77.3,186,Yes,26-35,Gurugram
INV001099,8,26.1,63,Yes,26-35,Gurugram
INV001102,7,55.3,87,Yes,46-55,Kolkata
INV001115,6,81.4,290,Yes,26-35,Kanpur
INV001116,9,58.1,194,Yes,36-45,Faridabad
INV001117,8,61.7,137,Yes,18-25,Amritsar
INV001130,7,76.8,131,Yes,18-25,Jaipur
INV001137,7,57.0,120,Yes,56+,Kolkata
INV001140,6,60.4,125,Yes,36-45,Lucknow
INV001141,6,97.6,132,Yes,18-25,Kolkata
INV001142,7,42.8,106,Yes,26-35,Lucknow
INV001156,6,102.4,175,Yes,56+,Indore
INV001160,8,57.6,99,Yes,36-45,Mysore
INV001161,6,80.6,159,Yes,26-35,Kanpur
INV001163,7,67.3,255,Yes,26-35,Mysore
INV001167,6,96.2,207,Yes,36-45,Amritsar
INV001170,6,68.2,119,Yes,36-45,Mysore
INV001173,6,67.0,146,Yes,26-35,Chandigarh
INV001178,7,79.7,140,Yes,26-35,Kolkata
INV001180,6,74.4,198,Yes,26-35,Hyderabad
INV001181,8,67.4,163,Yes,26-35,Kolkata
INV001190,6,97.0,198,Yes,26-35,Mumbai
INV001195,8,53.4,167,Yes,26-35,Surat
INV001196,6,92.2,169,Yes,26-35,Chandigarh
INV001202,8,58.0,103,Yes,26-35,Bangalore
INV001206,6,83.6,190,Yes,26-35,Noida
INV001208,7,51.8,107,Yes,56+,Ahmedabad
INV001210,9,36.9,93,Yes,36-45,Agra
INV001217,8,60.1,205,Yes,26-35,Jaipur
INV001219,8,50.9,118,Yes,26-35,Kolkata
INV001220,7,77.2,104,Yes,36-45,Chandigarh
INV001223,7,70.8,175,Yes,56+,Amritsar
INV001234,8,60.6,119,Yes,26-35,Agra
INV001235,9,59.0,161,Yes,26-35,Faridabad
INV001237,6,98.0,182,Yes,26-35,Kolkata
INV001238,7,68.5,220,Yes,26-35,Gurugram
INV001242,6,69.8,128,Yes,36-45,Chennai
INV001251,6,82.0,223,Yes,26-35,Chandigarh
INV001262,7,44.8,116,Yes,26-35,Bangalore
INV001274,7,73.3,161,Yes,36-45,Mumbai
INV001275,7,66.7,140,Yes,36-45,Noida
INV001282,6,67.0,196,Yes,18-25,Kolkata
INV001287,6,92.2,157,Yes,36-45,Hyderabad
INV001288,7,45.7,148,Yes,26-35,Hyderabad
INV001291,6,76.2,181,Yes,46-55,Lucknow
INV001295,9,50.8,165,Yes,36-45,Indore
INV001298,7,71.8,158,Yes,26-35,Gurugram
INV001299,9,51.2,121,Yes,26-35,Faridabad
INV001304,6,97.6,177,Yes,26-35,Ahmedabad
INV001308,9,54.6,147,Yes,36-45,Jaipur
INV001310,6,81.2,232,Yes,46-55,Hyderabad
INV001314,10,50.4,130,Yes,26-35,Ahmedabad
INV001315,7,51.8,124,Yes,46-55,Hyderabad
INV001316,6,92.4,198,Yes,18-25,Chandigarh
INV001317,6,84.8,162,Yes,26-35,Chandigarh
INV001318,10,46.2,150,Yes,36-45,Hyderabad
INV001326,8,69.4,182,Yes,46-55,Udaipur
INV001329,6,68.2,97,Yes,36-45,Amritsar
INV001331,6,94.2,202,Yes,26-35,Ahmedabad
INV001332,7,80.0,179,Yes,26-35,Agra
INV001333,7,78.7,185,Yes,26-35,Faridabad
INV001336,8,65.9,198,Yes,18-25,Coimbatore
INV001348,7,47.8,121,Yes,26-35,Gurugram
INV001351,7,70.5,208,Yes,26-35,Kanpur
INV001355,6,60.2,187,Yes,46-55,Chennai
INV001356,6,79.2,191,Yes,26-35,Ahmedabad
INV001359,7,72.5,313,Yes,36-45,Gurugram
INV001361,7,50.5,103,Yes,26-35,Kolkata
INV001367,6,99.0,222,Yes,36-45,Nashik
INV001375,7,78.5,176,Yes,18-25,Gurugram
INV001376,7,78.7,181,Yes,26-35,Surat
INV001383,8,56.1,117,Yes,26-35,Pune
INV001387,9,57.2,130,Yes,36-45,Chennai
INV001394,8,63.6,171,Yes,56+,Bangalore
INV001400,6,76.8,266,Yes,36-45,Coimbatore
INV001401,6,68.6,197,Yes,26-35,Coimbatore
INV001406,10,47.7,202,Yes,46-55,Hyderabad
INV001407,6,45.2,141,Yes,26-35,Udaipur
INV001415,8,68.1,173,Yes,56+,Gurugram
INV001418,6,88.6,187,Yes,36-45,Noida
INV001419,6,85.8,137,Yes,26-35,New Delhi
INV001423,8,48.6,105,Yes,18-25,Bhopal
INV001428,6,79.4,174,Yes,26-35,New Delhi
INV001432,6,71.4,175,Yes,36-45,Lucknow
INV001434,6,80.6,178,Yes,46-55,Mumbai
INV001442,9,57.1,238,Yes,26-35,Lucknow
INV001454,7,73.0,176,Yes,26-35,Chennai
INV001455,8,64.7,153,Yes,36-45,Indore
INV001457,6,43.8,63,Yes,26-35,Ahmedabad
INV001458,7,59.8,101,Yes,46-55,Coimbatore
INV001466,6,44.6,82,Yes,46-55,Noida
INV001472,6,79.0,141,Yes,18-25,Kolkata
INV001482,6,80.6,280,Yes,46-55,Indore
INV001485,9,55.0,150,Yes,56+,Jaipur
INV001491,6,98.8,260,Yes,56+,Chennai
INV001497,9,63.0,138,Yes,36-45,Mumbai
INV001504,9,54.2,134,Yes,36-45,Faridabad
INV001507,6,86.2,167,Yes,26-35,Lucknow
INV001510,7,66.8,124,Yes,26-35,Surat
INV001514,7,51.8,72,Yes,46-55,Gurugram
INV001516,6,56.8,85,Yes,26-35,Coimbatore
INV001526,6,50.4,134,Yes,26-35,Bhopal
INV001530,7,64.7,122,Yes,26-35,Hyderabad
INV001532,7,56.8,101,Yes,36-45,Bhopal
INV001536,7,69.0,189,Yes,26-35,Mysore
INV001545,6,92.8,208,Yes,26-35,Bhopal
INV001547,7,72.2,119,Yes,36-45,Coimbatore
INV001548,6,80.6,197,Yes,26-35,New Delhi
INV001550,7,79.0,191,Yes,18-25,Chandigarh
INV001551,6,61.8,131,Yes,26-35,Chennai
INV001562,10,44.2,146,Yes,26-35,Noida
INV001564,8,55.7,157,Yes,46-55,Faridabad
INV001569,6,83.4,314,Yes,46-55,Chandigarh
INV001579,7,75.0,193,Yes,46-55,Bangalore
INV001580,7,45.7,119,Yes,26-35,Chandigarh
INV001585,6,56.6,182,Yes,36-45,Hyderabad
INV001587,7,65.0,144,Yes,26-35,Chandigarh
INV001597,7,56.0,165,Yes,36-45,Kolkata
INV001599,6,58.2,133,Yes,36-45,Faridabad
INV001602,6,93.8,294,Yes,36-45,Kolkata
INV001603,7,54.5,93,Yes,46-55,Agra
INV001605,8,60.6,136,Yes,26-35,Kanpur
INV001606,7,67.7,148,Yes,26-35,Amritsar
INV001616,9,53.0,117,Yes,26-35,Chennai
INV001623,6,92.0,188,Yes,26-35,Surat
INV001625,6,72.0,209,Yes,46-55,Kanpur
INV001628,8,51.7,139,Yes,36-45,Jaipur
INV001629,7,67.5,82,Yes,26-35,Indore
INV001631,6,57.0,101,Yes,36-45,Faridabad
INV001636,9,48.9,159,Yes,18-25,Udaipur
INV001641,6,88.4,168,Yes,26-35,Faridabad
INV001644,6,65.6,89,Yes,18-25,Bhopal
INV001645,6,67.6,202,Yes,46-55,Kanpur
INV001649,10,51.7,120,Yes,36-45,Hyderabad
INV001651,7,78.7,130,Yes,18-25,Ahmedabad
INV001653,6,55.2,94,Yes,36-45,Mumbai
INV001654,7,56.0,137,Yes,36-45,Lucknow
INV001656,8,59.9,246,Yes,26-35,Bhopal
INV001662,6,60.2,147,Yes,36-45,Gurugram
INV001672,9,34.0,130,Yes,18-25,Pune
INV001673,11,49.3,181,Yes,26-35,Kolkata
INV001680,9,58.9,200,Yes,26-35,Indore
INV001683,7,72.5,186,Yes,26-35,Gurugram
INV001689,6,83.6,153,Yes,36-45,Faridabad
INV001690,7,81.2,114,Yes,36-45,Jaipur
INV001691,6,82.0,254,Yes,26-35,Mumbai
INV001694,8,66.1,144,Yes,46-55,Amritsar
INV001697,9,62.5,287,Yes,18-25,Gurugram
INV001699,6,83.2,183,Yes,26-35,Indore
INV001709,6,51.8,84,Yes,36-45,New Delhi
INV001711,7,65.8,189,Yes,46-55,Bhopal
INV001712,6,66.6,144,Yes,18-25,Kolkata
INV001715,8,68.3,188,Yes,18-25,Surat
INV001718,6,84.0,237,Yes,26-35,Ahmedabad
INV001724,7,69.7,134,Yes,26-35,Indore
INV001728,8,50.6,131,Yes,26-35,Bangalore
INV001737,7,56.8,191,Yes,26-35,Hyderabad
INV001738,9,47.5,153,Yes,36-45,Bangalore
INV001739,9,52.5,96,Yes,36-45,Kolkata
INV001741,6,89.4,260,Yes,36-45,Udaipur
INV001744,7,78.5,155,Yes,26-35,Mysore
INV001752,7,69.3,170,Yes,26-35,Udaipur
INV001753,11,42.8,128,Yes,26-35,Jaipur
INV001757,8,55.6,121,Yes,46-55,Hyderabad
INV001759,10,49.6,126,Yes,36-45,Faridabad
INV001769,6,98.0,166,Yes,18-25,Chandigarh
INV001772,6,95.0,184,Yes,36-45,Hyderabad
INV001775,8,29.1,65,Yes,26-35,Kanpur
INV001777,9,57.6,156,Yes,18-25,Kolkata
INV001778,8,63.6,283,Yes,26-35,Mumbai
INV001797,7,79.7,132,Yes,26-35,Amritsar
INV001800,7,49.7,132,Yes,26-35,Chennai
INV001802,7,61.7,151,Yes,46-55,Chandigarh
INV001803,6,59.0,127,Yes,26-35,Udaipur
INV001804,8,55.9,126,Yes,26-35,Amritsar
INV001806,8,60.0,209,Yes,36-45,Hyderabad
INV001809,6,95.6,249,Yes,46-55,Hyderabad
INV001811,9,54.2,196,Yes,18-25,Amritsar
INV001822,6,19.8,43,Yes,36-45,Ahmedabad
INV001823,8,58.1,172,Yes,26-35,Coimbatore
INV001826,6,51.2,128,Yes,18-25,Amritsar
INV001828,8,44.4,91,Yes,36-45,Surat
INV001831,6,72.8,181,Yes,18-25,Indore
INV001837,7,62.8,157,Yes,18-25,Agra
INV001841,6,56.2,129,Yes,36-45,Bhopal
INV001853,8,47.4,95,Yes,18-25,Noida
INV001858,8,55.1,261,Yes,36-45,Amritsar
INV001865,7,63.5,145,Yes,18-25,Hyderabad
INV001866,6,58.8,117,Yes,36-45,Hyderabad
INV001870,7,76.0,164,Yes,26-35,Indore
INV001871,7,55.0,101,Yes,56+,Gurugram
INV001883,6,99.2,203,Yes,46-55,Pune
INV001885,6,71.2,128,Yes,26-35,Bangalore
INV001886,9,50.8,129,Yes,18-25,Gurugram
INV001890,6,102.6,207,Yes,26-35,Bhopal
INV001891,6,96.4,261,Yes,26-35,Kolkata
INV001909,8,62.1,121,Yes,36-45,Hyderabad
INV001912,6,86.4,256,Yes,26-35,Gurugram
INV001920,7,39.0,76,Yes,36-45,Indore
INV001921,8,68.6,225,Yes,26-35,Surat
INV001923,7,80.7,106,Yes,18-25,Surat
INV001924,7,59.2,119,Yes,18-25,Bangalore
INV001927,6,58.8,91,Yes,56+,Jaipur
INV001929,6,66.2,242,Yes,56+,Jaipur
INV001937,8,60.4,253,Yes,18-25,Gurugram
INV001938,9,43.0,112,Yes,26-35,Mysore
INV001943,6,74.4,171,Yes,56+,Kolkata
INV001950,7,60.2,134,Yes,26-35,Pune
